time_s,total_queue,vip_queue,phase
0.027,0,0,NS
0.044,0,0,NS
0.061,0,0,NS
0.078,0,0,NS
0.095,0,0,NS
0.113,0,0,NS
0.13,0,0,NS
0.147,0,0,NS
0.164,0,0,NS
0.181,0,0,NS
0.198,0,0,NS
0.215,0,0,NS
0.232,0,0,NS
0.249,0,0,NS
0.266,0,0,NS
0.283,0,0,NS
0.3,0,0,NS
0.317,0,0,NS
0.334,0,0,NS
0.351,0,0,NS
0.368,0,0,NS
0.384,0,0,NS
0.401,0,0,NS
0.418,0,0,NS
0.435,0,0,NS
0.452,0,0,NS
0.469,0,0,NS
0.486,0,0,NS
0.503,0,0,NS
0.52,0,0,NS
0.537,0,0,NS
0.554,0,0,NS
0.571,0,0,NS
0.588,0,0,NS
0.605,0,0,NS
0.622,0,0,NS
0.639,0,0,NS
0.656,0,0,NS
0.673,0,0,NS
0.69,0,0,NS
0.707,0,0,NS
0.724,0,0,NS
0.741,0,0,NS
0.758,0,0,NS
0.775,0,0,NS
0.792,0,0,NS
0.809,0,0,NS
0.826,0,0,NS
0.843,0,0,NS
0.86,0,0,NS
0.877,0,0,NS
0.894,0,0,NS
0.911,0,0,NS
0.928,0,0,NS
0.945,0,0,NS
0.962,0,0,NS
0.979,0,0,NS
0.996,0,0,NS
1.013,0,0,NS
1.03,0,0,NS
1.047,0,0,NS
1.064,0,0,NS
1.081,0,0,NS
1.098,0,0,NS
1.114,0,0,NS
1.131,0,0,NS
1.148,0,0,NS
1.165,0,0,NS
1.183,0,0,NS
1.2,0,0,NS
1.217,0,0,NS
1.234,0,0,NS
1.25,0,0,NS
1.267,0,0,NS
1.284,0,0,NS
1.3,0,0,NS
1.317,0,0,NS
1.334,0,0,NS
1.351,0,0,NS
1.368,0,0,NS
1.385,0,0,NS
1.402,0,0,NS
1.419,0,0,NS
1.436,0,0,NS
1.453,0,0,NS
1.47,0,0,NS
1.487,0,0,NS
1.504,0,0,NS
1.521,0,0,NS
1.538,0,0,NS
1.555,0,0,NS
1.572,0,0,NS
1.589,0,0,NS
1.607,0,0,NS
1.624,0,0,NS
1.641,0,0,NS
1.658,0,0,NS
1.675,0,0,NS
1.692,0,0,NS
1.709,0,0,NS
1.726,0,0,NS
1.743,0,0,NS
1.761,0,0,NS
1.778,0,0,NS
1.795,0,0,NS
1.812,0,0,NS
1.829,0,0,NS
1.846,0,0,NS
1.863,0,0,NS
1.88,0,0,NS
1.897,0,0,NS
1.915,0,0,NS
1.932,0,0,NS
1.949,0,0,NS
1.966,0,0,NS
1.983,0,0,NS
2.0,0,0,NS
2.017,0,0,NS
2.034,0,0,NS
2.051,0,0,NS
2.068,0,0,NS
2.085,0,0,NS
2.102,0,0,NS
2.119,0,0,NS
2.136,0,0,NS
2.153,1,0,NS
2.17,1,0,NS
2.187,1,0,NS
2.204,1,0,NS
2.221,1,0,NS
2.237,1,0,NS
2.254,1,0,NS
2.271,1,0,NS
2.288,1,0,NS
2.305,1,0,NS
2.322,1,0,NS
2.339,1,0,NS
2.356,1,0,NS
2.373,1,0,NS
2.39,1,0,NS
2.407,1,0,NS
2.424,1,0,NS
2.441,1,0,NS
2.458,1,0,NS
2.475,1,0,NS
2.492,1,0,NS
2.509,1,0,NS
2.526,1,0,NS
2.543,1,0,NS
2.56,1,0,NS
2.577,1,0,NS
2.594,1,0,NS
2.611,1,0,NS
2.628,1,0,NS
2.645,1,0,NS
2.662,1,0,NS
2.679,1,0,NS
2.696,1,0,NS
2.713,1,0,NS
2.73,1,0,NS
2.747,1,0,NS
2.764,1,0,NS
2.781,1,0,NS
