time_s,total_queue,vip_queue,phase
0.141,0,0,NS
0.157,0,0,NS
0.174,0,0,NS
0.191,0,0,NS
0.208,0,0,NS
0.225,0,0,NS
0.242,0,0,NS
0.259,0,0,NS
0.276,0,0,NS
0.293,0,0,NS
0.31,0,0,NS
0.326,0,0,NS
0.343,0,0,NS
0.36,0,0,NS
0.377,0,0,NS
0.394,0,0,NS
0.411,0,0,NS
0.428,0,0,NS
0.445,0,0,NS
0.462,0,0,NS
0.479,0,0,NS
0.496,0,0,NS
0.513,0,0,NS
0.53,0,0,NS
0.547,0,0,NS
0.564,0,0,NS
0.581,0,0,NS
0.598,0,0,NS
0.615,0,0,NS
0.632,0,0,NS
0.649,0,0,NS
0.666,0,0,NS
0.683,0,0,NS
0.7,0,0,NS
0.717,0,0,NS
0.734,0,0,NS
0.751,0,0,NS
0.768,0,0,NS
0.785,0,0,NS
0.802,0,0,NS
0.819,0,0,NS
0.836,0,0,NS
0.853,0,0,NS
0.87,0,0,NS
0.887,0,0,NS
0.904,0,0,NS
0.921,0,0,NS
0.938,0,0,NS
0.955,0,0,NS
0.972,0,0,NS
0.989,0,0,NS
1.006,0,0,NS
1.023,0,0,NS
1.04,0,0,NS
1.057,0,0,NS
1.074,0,0,NS
1.091,0,0,NS
1.108,0,0,NS
1.125,0,0,NS
1.142,0,0,NS
1.159,0,0,NS
1.176,0,0,NS
1.193,0,0,NS
1.21,0,0,NS
1.227,0,0,NS
1.244,0,0,NS
1.261,0,0,NS
1.278,0,0,NS
1.295,0,0,NS
1.312,0,0,NS
1.329,0,0,NS
1.345,0,0,NS
1.362,0,0,NS
1.379,0,0,NS
1.396,0,0,NS
1.413,0,0,NS
1.43,0,0,NS
1.447,0,0,NS
1.464,0,0,NS
1.481,0,0,NS
1.498,0,0,NS
1.515,0,0,NS
1.532,0,0,NS
1.549,0,0,NS
1.565,0,0,NS
1.582,0,0,NS
1.598,0,0,NS
1.615,0,0,NS
1.635,0,0,NS
1.652,0,0,NS
1.668,0,0,NS
1.685,0,0,NS
1.702,0,0,NS
1.719,0,0,NS
1.736,0,0,NS
1.753,0,0,NS
1.77,0,0,NS
1.787,0,0,NS
1.804,0,0,NS
1.821,0,0,NS
1.838,0,0,NS
1.855,0,0,NS
1.872,0,0,NS
1.889,0,0,NS
1.906,0,0,NS
1.923,0,0,NS
1.94,0,0,NS
1.957,0,0,NS
1.974,0,0,NS
1.992,0,0,NS
2.009,0,0,NS
2.026,0,0,NS
2.043,0,0,NS
2.061,0,0,NS
2.078,0,0,NS
2.095,0,0,NS
2.112,0,0,NS
2.129,0,0,NS
2.146,0,0,NS
2.163,1,0,NS
2.18,1,0,NS
2.197,1,0,NS
2.214,1,0,NS
2.231,1,0,NS
2.248,1,0,NS
2.265,1,0,NS
2.282,1,0,NS
2.299,1,0,NS
2.316,1,0,NS
2.333,1,0,NS
2.35,1,0,NS
2.367,1,0,NS
2.384,1,0,NS
2.401,1,0,NS
2.418,1,0,NS
2.435,1,0,NS
2.452,1,0,NS
2.469,1,0,NS
2.486,1,0,NS
2.503,1,0,NS
2.52,1,0,NS
2.537,1,0,NS
2.554,1,0,NS
2.571,1,0,NS
2.588,1,0,NS
2.605,1,0,NS
2.622,1,0,NS
2.639,1,0,NS
2.655,1,0,NS
2.672,1,0,NS
2.689,1,0,NS
2.706,1,0,NS
2.723,1,0,NS
2.74,1,0,NS
2.757,1,0,NS
2.774,1,0,NS
2.791,1,0,NS
2.807,1,0,NS
2.824,1,0,NS
2.841,1,0,NS
2.858,1,0,NS
2.875,1,0,NS
2.892,0,0,NS
2.909,0,0,NS
2.926,0,0,NS
2.943,0,0,NS
2.96,0,0,NS
2.977,0,0,NS
2.994,0,0,NS
3.011,0,0,NS
3.028,0,0,NS
3.045,0,0,NS
3.062,0,0,NS
3.079,0,0,NS
3.096,0,0,NS
3.113,0,0,NS
3.13,0,0,NS
3.147,0,0,NS
3.164,0,0,NS
3.181,0,0,NS
3.198,0,0,NS
3.215,0,0,NS
3.232,0,0,NS
3.249,0,0,NS
3.266,0,0,NS
3.283,0,0,NS
3.3,0,0,NS
3.317,0,0,NS
3.334,0,0,NS
3.351,0,0,NS
3.368,0,0,NS
3.385,0,0,NS
3.402,0,0,NS
3.419,0,0,NS
3.436,0,0,NS
3.453,0,0,NS
3.47,0,0,NS
3.487,0,0,NS
3.504,0,0,NS
3.521,0,0,NS
3.538,0,0,NS
3.555,0,0,NS
3.572,0,0,NS
3.589,0,0,NS
3.606,0,0,NS
3.623,0,0,NS
3.64,0,0,NS
3.657,0,0,NS
3.674,0,0,NS
3.691,0,0,NS
3.708,0,0,NS
3.725,0,0,NS
3.742,0,0,NS
3.759,0,0,NS
3.776,0,0,NS
3.793,0,0,NS
3.81,0,0,NS
3.827,0,0,NS
3.844,0,0,NS
3.861,0,0,NS
3.878,0,0,NS
3.895,0,0,NS
3.912,0,0,NS
3.929,0,0,NS
3.946,0,0,NS
3.963,0,0,NS
3.98,0,0,NS
3.997,0,0,NS
4.014,0,0,NS
4.031,0,0,NS
4.048,0,0,NS
4.065,0,0,NS
4.082,0,0,NS
4.099,0,0,NS
4.116,0,0,NS
4.133,0,0,NS
4.15,0,0,NS
4.167,0,0,NS
4.184,0,0,NS
4.201,0,0,NS
4.218,0,0,NS
4.235,0,0,NS
4.252,1,0,NS
4.269,1,0,NS
4.286,1,0,NS
4.303,1,0,NS
4.32,1,0,NS
4.337,1,0,NS
4.354,1,0,NS
4.371,1,0,NS
4.388,1,0,NS
4.405,1,0,NS
4.422,1,0,NS
4.439,1,0,NS
4.456,1,0,NS
4.473,1,0,NS
4.49,1,0,NS
4.507,1,0,NS
4.524,1,0,NS
4.541,1,0,NS
4.558,1,0,NS
4.575,1,0,NS
4.592,1,0,NS
4.609,1,0,NS
4.626,1,0,NS
4.643,1,0,NS
4.66,1,0,NS
4.677,1,0,NS
4.694,1,0,NS
4.711,1,0,NS
4.728,1,0,NS
4.745,1,0,NS
4.762,1,0,NS
4.779,1,0,NS
4.796,1,0,NS
4.813,1,0,NS
4.83,1,0,NS
4.847,1,0,NS
4.864,1,0,NS
4.881,1,0,NS
4.898,1,0,NS
4.915,1,0,NS
4.932,1,0,NS
4.949,1,0,NS
4.966,1,0,NS
4.983,0,0,NS
5.0,0,0,NS
5.017,0,0,NS
5.034,0,0,NS
5.051,0,0,NS
5.068,0,0,NS
5.085,0,0,NS
5.102,0,0,NS
5.119,0,0,NS
5.136,0,0,NS
5.154,0,0,NS
5.171,0,0,NS
5.188,0,0,NS
5.205,0,0,NS
5.294,0,0,NS
5.311,0,0,NS
5.328,0,0,NS
5.345,0,0,NS
5.362,0,0,NS
5.379,0,0,NS
5.396,0,0,NS
5.413,0,0,NS
5.43,0,0,NS
5.447,0,0,NS
5.464,0,0,NS
5.481,0,0,NS
5.498,0,0,NS
5.515,0,0,NS
5.532,0,0,NS
5.549,0,0,NS
5.566,0,0,NS
5.583,0,0,NS
5.6,0,0,NS
5.617,0,0,NS
5.634,0,0,NS
5.651,0,0,NS
5.668,0,0,NS
5.685,0,0,NS
5.702,0,0,NS
5.719,0,0,NS
5.736,0,0,NS
5.753,0,0,NS
5.77,0,0,NS
5.787,0,0,NS
5.804,0,0,NS
5.821,0,0,NS
5.838,0,0,NS
5.855,0,0,NS
5.872,1,0,NS
5.889,1,0,NS
5.906,1,0,NS
5.923,1,0,NS
5.94,1,0,NS
5.957,1,0,NS
5.974,1,0,NS
5.991,1,0,NS
6.008,1,0,NS
6.025,1,0,NS
6.042,1,0,NS
6.059,1,0,NS
6.076,1,0,NS
6.093,1,0,NS
6.11,1,0,NS
6.127,1,0,NS
6.144,1,0,NS
6.161,1,0,NS
6.178,1,0,NS
6.195,1,0,NS
6.213,1,0,NS
6.23,1,0,NS
6.247,1,0,NS
6.264,1,0,NS
6.281,1,0,NS
6.298,1,0,NS
6.315,1,0,NS
6.332,1,0,NS
6.349,1,0,NS
6.366,1,0,NS
6.383,1,0,NS
6.4,1,0,NS
6.417,1,0,NS
6.434,1,0,NS
6.451,1,0,NS
6.468,1,0,NS
6.485,1,0,NS
6.502,1,0,NS
6.519,1,0,NS
6.536,1,0,NS
6.553,1,0,NS
6.57,1,0,NS
6.587,1,0,NS
6.604,0,0,NS
6.621,0,0,NS
6.638,0,0,NS
6.656,0,0,NS
6.673,0,0,NS
6.69,0,0,NS
6.707,0,0,NS
6.724,0,0,NS
6.741,0,0,NS
6.758,0,0,NS
6.775,0,0,NS
6.792,0,0,NS
6.809,0,0,NS
6.826,0,0,NS
6.843,0,0,NS
6.86,0,0,NS
6.877,0,0,NS
6.894,0,0,NS
6.911,0,0,NS
6.928,0,0,NS
6.945,0,0,NS
6.962,0,0,NS
6.979,0,0,NS
6.996,0,0,NS
7.013,0,0,NS
7.03,0,0,NS
7.047,0,0,NS
7.064,0,0,NS
7.081,0,0,NS
7.098,0,0,NS
7.115,0,0,NS
7.132,0,0,NS
7.149,0,0,NS
7.166,0,0,NS
7.183,0,0,NS
7.2,0,0,NS
7.217,0,0,NS
7.234,0,0,NS
7.251,0,0,NS
7.268,0,0,NS
7.285,0,0,NS
7.302,0,0,NS
7.319,0,0,NS
7.336,0,0,NS
7.353,0,0,NS
7.37,0,0,NS
7.387,0,0,NS
7.404,0,0,NS
7.421,0,0,NS
7.438,0,0,NS
7.455,0,0,NS
7.472,0,0,NS
7.489,0,0,NS
7.506,0,0,NS
7.523,0,0,NS
7.54,0,0,NS
7.557,0,0,NS
7.574,0,0,NS
7.591,0,0,NS
7.608,1,0,NS
7.625,1,0,NS
7.642,1,0,NS
7.659,1,0,NS
7.676,1,0,NS
7.693,1,0,NS
7.71,1,0,NS
7.727,1,0,NS
7.744,1,0,NS
7.761,1,0,NS
7.778,1,0,NS
7.795,1,0,NS
7.812,1,0,NS
7.829,1,0,NS
7.846,1,0,NS
7.863,1,0,NS
7.88,1,0,NS
7.897,1,0,NS
7.914,1,0,NS
7.931,1,0,NS
7.948,1,0,NS
7.965,1,0,NS
7.985,1,0,NS
8.002,1,0,NS
8.019,1,0,NS
8.036,1,0,NS
8.053,1,0,NS
8.07,1,0,NS
8.087,1,0,NS
8.104,1,0,NS
8.121,1,0,NS
8.138,1,0,NS
8.155,1,0,NS
8.172,1,0,NS
8.189,1,0,NS
8.206,1,0,NS
8.223,1,0,NS
8.239,1,0,NS
8.256,1,0,NS
8.273,1,0,NS
8.29,1,0,NS
8.307,1,0,NS
8.324,1,0,NS
8.341,0,0,NS
8.358,0,0,NS
8.375,0,0,NS
8.392,0,0,NS
8.409,0,0,NS
8.426,0,0,NS
8.443,0,0,NS
8.46,0,0,NS
8.477,0,0,NS
8.494,0,0,NS
8.511,0,0,NS
8.528,0,0,NS
8.545,0,0,NS
8.562,0,0,NS
8.579,0,0,NS
8.596,0,0,NS
8.613,0,0,NS
8.63,0,0,NS
8.647,0,0,NS
8.664,0,0,NS
8.682,0,0,NS
8.699,0,0,NS
8.716,0,0,NS
8.733,0,0,NS
