time_s,total_queue,vip_queue,phase
0.017,0,0,NS
0.034,0,0,NS
0.051,0,0,NS
0.068,0,0,NS
0.085,0,0,NS
0.102,0,0,NS
0.119,0,0,NS
0.136,0,0,NS
0.153,0,0,NS
0.17,0,0,NS
0.187,0,0,NS
0.204,0,0,NS
0.221,0,0,NS
0.238,0,0,NS
0.255,0,0,NS
0.272,0,0,NS
0.289,0,0,NS
0.306,0,0,NS
0.323,0,0,NS
0.34,0,0,NS
0.357,0,0,NS
0.374,0,0,NS
0.391,0,0,NS
0.408,0,0,NS
0.425,0,0,NS
0.442,0,0,NS
0.459,0,0,NS
0.476,0,0,NS
0.493,0,0,NS
0.51,0,0,NS
0.527,0,0,NS
0.544,0,0,NS
0.561,0,0,NS
0.578,0,0,NS
0.595,0,0,NS
0.612,0,0,NS
0.629,0,0,NS
0.646,0,0,NS
0.663,0,0,NS
0.679,0,0,NS
0.695,0,0,NS
0.712,0,0,NS
0.729,0,0,NS
0.746,0,0,NS
0.763,0,0,NS
0.78,0,0,NS
0.797,0,0,NS
0.814,0,0,NS
0.831,0,0,NS
0.848,0,0,NS
0.865,0,0,NS
0.882,0,0,NS
0.899,0,0,NS
0.916,0,0,NS
0.933,0,0,NS
0.95,0,0,NS
0.967,0,0,NS
0.984,0,0,NS
1.001,0,0,NS
1.018,0,0,NS
1.035,0,0,NS
1.052,0,0,NS
1.069,0,0,NS
1.086,0,0,NS
1.103,0,0,NS
1.12,0,0,NS
1.137,0,0,NS
1.154,0,0,NS
1.171,0,0,NS
1.188,0,0,NS
1.204,0,0,NS
1.221,0,0,NS
1.238,0,0,NS
1.255,0,0,NS
1.272,0,0,NS
1.289,0,0,NS
1.306,0,0,NS
1.323,0,0,NS
1.34,0,0,NS
1.357,0,0,NS
1.374,0,0,NS
1.391,0,0,NS
1.408,0,0,NS
1.425,0,0,NS
1.442,0,0,NS
1.459,0,0,NS
1.476,0,0,NS
1.493,0,0,NS
1.51,0,0,NS
1.527,0,0,NS
1.544,0,0,NS
1.561,0,0,NS
1.578,0,0,NS
1.595,0,0,NS
1.612,0,0,NS
1.629,0,0,NS
1.646,0,0,NS
1.663,0,0,NS
1.68,0,0,NS
1.697,0,0,NS
1.714,0,0,NS
1.731,0,0,NS
1.748,0,0,NS
1.765,0,0,NS
1.782,0,0,NS
1.799,0,0,NS
1.817,0,0,NS
1.834,0,0,NS
1.851,0,0,NS
1.868,0,0,NS
1.885,0,0,NS
1.902,0,0,NS
1.919,0,0,NS
1.936,0,0,NS
1.953,0,0,NS
1.97,0,0,NS
1.987,0,0,NS
2.004,0,0,NS
2.021,0,0,NS
2.038,0,0,NS
2.055,0,0,NS
2.072,0,0,NS
2.089,0,0,NS
2.106,0,0,NS
2.123,0,0,NS
2.14,0,0,NS
2.157,0,0,NS
2.174,1,0,NS
2.191,1,0,NS
2.208,1,0,NS
2.225,1,0,NS
2.242,1,0,NS
2.259,1,0,NS
2.276,1,0,NS
2.293,1,0,NS
2.31,1,0,NS
2.327,1,0,NS
2.344,1,0,NS
2.361,1,0,NS
2.378,1,0,NS
2.395,1,0,NS
2.412,1,0,NS
2.429,1,0,NS
2.446,1,0,NS
2.463,1,0,NS
2.48,1,0,NS
2.497,1,0,NS
2.514,1,0,NS
2.531,1,0,NS
2.548,1,0,NS
2.565,1,0,NS
2.582,1,0,NS
2.599,1,0,NS
2.617,1,0,NS
2.634,1,0,NS
2.651,1,0,NS
2.668,1,0,NS
2.685,1,0,NS
2.702,1,0,NS
2.719,1,0,NS
2.736,1,0,NS
2.753,1,0,NS
2.77,1,0,NS
2.787,1,0,NS
2.804,1,0,NS
2.821,1,0,NS
2.838,1,0,NS
2.855,1,0,NS
2.872,1,0,NS
2.889,1,0,NS
2.906,0,0,NS
2.923,0,0,NS
2.94,0,0,NS
2.957,0,0,NS
2.974,0,0,NS
2.991,0,0,NS
3.008,0,0,NS
3.025,0,0,NS
3.042,0,0,NS
3.059,0,0,NS
3.076,0,0,NS
3.093,0,0,NS
3.11,0,0,NS
3.127,0,0,NS
3.144,0,0,NS
3.161,0,0,NS
3.178,0,0,NS
3.195,0,0,NS
3.212,0,0,NS
3.229,0,0,NS
3.246,0,0,NS
3.263,0,0,NS
3.28,0,0,NS
3.297,0,0,NS
3.314,0,0,NS
3.331,0,0,NS
3.348,0,0,NS
3.365,0,0,NS
3.382,0,0,NS
3.399,0,0,NS
3.416,0,0,NS
3.433,0,0,NS
3.45,0,0,NS
3.467,0,0,NS
3.484,0,0,NS
3.501,0,0,NS
3.518,0,0,NS
3.535,0,0,NS
3.552,0,0,NS
3.569,0,0,NS
3.586,0,0,NS
3.603,0,0,NS
3.62,0,0,NS
