time_s,total_queue,vip_queue,phase
0.017,0,0,NS
0.034,0,0,NS
0.051,0,0,NS
0.068,0,0,NS
0.085,0,0,NS
0.102,0,0,NS
0.119,0,0,NS
0.136,0,0,NS
0.153,0,0,NS
0.17,0,0,NS
0.187,0,0,NS
0.204,0,0,NS
0.221,0,0,NS
0.238,0,0,NS
0.255,0,0,NS
0.272,0,0,NS
0.289,0,0,NS
0.306,0,0,NS
0.323,0,0,NS
0.34,0,0,NS
0.357,0,0,NS
0.374,0,0,NS
0.391,0,0,NS
0.408,0,0,NS
0.425,0,0,NS
0.442,0,0,NS
0.459,0,0,NS
0.476,0,0,NS
0.493,0,0,NS
0.51,0,0,NS
0.527,0,0,NS
0.544,0,0,NS
0.561,0,0,NS
0.578,0,0,NS
0.595,0,0,NS
0.612,0,0,NS
0.629,0,0,NS
0.646,0,0,NS
0.663,0,0,NS
0.68,0,0,NS
0.697,0,0,NS
0.714,0,0,NS
0.731,0,0,NS
0.748,0,0,NS
0.765,0,0,NS
0.782,0,0,NS
0.799,0,0,NS
0.816,0,0,NS
0.833,0,0,NS
0.849,0,0,NS
0.866,0,0,NS
0.883,0,0,NS
0.9,0,0,NS
0.917,0,0,NS
0.934,0,0,NS
0.951,0,0,NS
0.968,0,0,NS
0.985,0,0,NS
1.002,0,0,NS
1.019,0,0,NS
1.036,0,0,NS
1.053,0,0,NS
1.07,0,0,NS
1.087,0,0,NS
1.104,0,0,NS
1.121,0,0,NS
1.138,0,0,NS
1.155,0,0,NS
1.172,0,0,NS
1.189,0,0,NS
1.206,0,0,NS
1.223,0,0,NS
1.24,0,0,NS
1.257,0,0,NS
1.274,0,0,NS
1.291,0,0,NS
1.308,0,0,NS
1.325,0,0,NS
1.342,0,0,NS
1.359,0,0,NS
1.376,0,0,NS
1.393,0,0,NS
1.41,0,0,NS
1.427,0,0,NS
1.444,0,0,NS
1.461,0,0,NS
1.478,0,0,NS
1.495,0,0,NS
1.512,0,0,NS
1.529,0,0,NS
1.546,0,0,NS
1.563,0,0,NS
1.58,0,0,NS
1.597,0,0,NS
1.614,0,0,NS
1.631,0,0,NS
1.648,0,0,NS
1.665,0,0,NS
1.682,0,0,NS
1.699,0,0,NS
1.716,0,0,NS
1.733,0,0,NS
1.75,0,0,NS
1.767,0,0,NS
1.784,0,0,NS
1.801,0,0,NS
1.818,0,0,NS
1.835,0,0,NS
1.852,0,0,NS
1.869,0,0,NS
1.886,0,0,NS
1.903,0,0,NS
1.92,0,0,NS
1.937,0,0,NS
1.954,0,0,NS
1.971,0,0,NS
1.988,0,0,NS
2.005,0,0,NS
2.022,0,0,NS
2.039,0,0,NS
2.056,0,0,NS
2.073,1,0,NS
2.09,1,0,NS
2.107,1,0,NS
2.124,1,0,NS
2.141,1,0,NS
2.158,1,0,NS
2.175,1,0,NS
2.191,1,0,NS
2.208,1,0,NS
2.225,1,0,NS
2.242,1,0,NS
2.259,1,0,NS
2.276,1,0,NS
2.293,1,0,NS
2.31,1,0,NS
2.327,1,0,NS
2.344,1,0,NS
2.361,1,0,NS
2.378,1,0,NS
2.394,1,0,NS
2.411,1,0,NS
2.428,1,0,NS
2.445,1,0,NS
2.462,1,0,NS
2.479,1,0,NS
2.496,1,0,NS
2.513,1,0,NS
2.53,1,0,NS
2.547,1,0,NS
2.564,1,0,NS
2.581,1,0,NS
2.598,1,0,NS
2.614,1,0,NS
2.631,1,0,NS
2.648,1,0,NS
2.665,1,0,NS
2.682,1,0,NS
2.699,1,0,NS
2.717,1,0,NS
2.734,1,0,NS
2.751,1,0,NS
2.768,1,0,NS
2.785,1,0,NS
2.801,0,0,NS
2.818,0,0,NS
2.836,0,0,NS
2.853,0,0,NS
2.87,0,0,NS
2.888,0,0,NS
2.905,0,0,NS
2.922,0,0,NS
2.939,0,0,NS
2.957,0,0,NS
2.974,0,0,NS
2.991,0,0,NS
3.008,0,0,NS
3.025,0,0,NS
3.042,0,0,NS
3.059,0,0,NS
3.076,0,0,NS
3.093,0,0,NS
3.11,0,0,NS
3.127,0,0,NS
3.144,0,0,NS
3.161,0,0,NS
3.178,0,0,NS
3.195,0,0,NS
3.212,0,0,NS
3.229,0,0,NS
3.246,0,0,NS
3.263,0,0,NS
3.28,0,0,NS
3.297,0,0,NS
3.314,0,0,NS
3.331,0,0,NS
3.348,0,0,NS
3.365,0,0,NS
3.382,0,0,NS
3.399,0,0,NS
3.416,0,0,NS
3.433,0,0,NS
3.45,0,0,NS
3.467,0,0,NS
3.484,0,0,NS
3.501,0,0,NS
3.518,0,0,NS
3.536,0,0,NS
3.553,0,0,NS
3.57,0,0,NS
3.587,0,0,NS
3.604,0,0,NS
3.621,0,0,NS
