time_s,total_queue,vip_queue,phase
0.063,0,0,NS
0.08,0,0,NS
0.097,0,0,NS
0.114,0,0,NS
0.131,0,0,NS
0.148,0,0,NS
0.165,0,0,NS
0.182,0,0,NS
0.199,0,0,NS
0.216,0,0,NS
0.232,0,0,NS
0.249,0,0,NS
0.266,0,0,NS
0.283,0,0,NS
0.3,0,0,NS
0.317,0,0,NS
0.334,0,0,NS
0.351,0,0,NS
0.368,0,0,NS
0.385,0,0,NS
0.402,0,0,NS
0.419,0,0,NS
0.436,0,0,NS
0.453,0,0,NS
0.47,0,0,NS
0.487,0,0,NS
0.504,0,0,NS
0.521,0,0,NS
0.538,0,0,NS
0.555,0,0,NS
0.572,0,0,NS
0.589,0,0,NS
0.606,0,0,NS
0.623,0,0,NS
0.64,0,0,NS
0.657,0,0,NS
0.674,0,0,NS
0.691,0,0,NS
0.708,0,0,NS
0.725,0,0,NS
0.742,0,0,NS
0.759,0,0,NS
0.776,0,0,NS
0.793,0,0,NS
0.81,0,0,NS
0.827,0,0,NS
0.844,0,0,NS
0.861,0,0,NS
0.879,0,0,NS
0.896,0,0,NS
0.913,0,0,NS
0.93,0,0,NS
0.947,0,0,NS
0.964,0,0,NS
0.981,0,0,NS
0.998,0,0,NS
1.015,0,0,NS
1.032,0,0,NS
1.049,0,0,NS
1.066,0,0,NS
1.083,0,0,NS
1.101,0,0,NS
1.118,0,0,NS
1.135,0,0,NS
1.152,0,0,NS
1.169,0,0,NS
1.186,0,0,NS
1.203,0,0,NS
1.22,0,0,NS
1.237,0,0,NS
1.254,0,0,NS
1.271,0,0,NS
1.288,0,0,NS
1.305,0,0,NS
1.322,0,0,NS
1.339,0,0,NS
1.356,0,0,NS
1.373,0,0,NS
1.39,0,0,NS
1.407,0,0,NS
1.424,0,0,NS
1.44,0,0,NS
1.457,0,0,NS
1.474,0,0,NS
1.491,0,0,NS
1.508,0,0,NS
1.525,0,0,NS
1.542,0,0,NS
1.559,0,0,NS
1.576,0,0,NS
1.594,0,0,NS
1.611,0,0,NS
1.628,0,0,NS
1.645,0,0,NS
1.662,0,0,NS
1.679,0,0,NS
1.696,0,0,NS
1.713,0,0,NS
1.73,0,0,NS
1.747,0,0,NS
1.764,0,0,NS
1.781,0,0,NS
1.798,0,0,NS
1.815,0,0,NS
1.832,0,0,NS
1.849,0,0,NS
1.866,0,0,NS
1.883,0,0,NS
1.9,0,0,NS
1.917,0,0,NS
1.934,0,0,NS
1.951,0,0,NS
1.968,0,0,NS
1.985,0,0,NS
2.002,0,0,NS
2.019,0,0,NS
2.036,0,0,NS
2.053,0,0,NS
2.07,0,0,NS
2.087,0,0,NS
2.104,1,0,NS
2.121,1,0,NS
2.138,1,0,NS
2.155,1,0,NS
2.172,1,0,NS
2.189,1,0,NS
2.206,1,0,NS
2.223,1,0,NS
2.303,1,0,NS
2.32,1,0,NS
2.337,1,0,NS
2.354,1,0,NS
2.371,1,0,NS
2.388,1,0,NS
2.405,1,0,NS
2.422,1,0,NS
2.439,1,0,NS
2.456,1,0,NS
2.473,1,0,NS
2.49,1,0,NS
2.506,1,0,NS
2.522,1,0,NS
2.539,1,0,NS
2.556,1,0,NS
2.573,1,0,NS
2.59,1,0,NS
2.607,1,0,NS
2.624,1,0,NS
2.641,1,0,NS
2.658,1,0,NS
2.675,1,0,NS
2.692,1,0,NS
2.709,1,0,NS
2.726,1,0,NS
2.743,1,0,NS
2.76,1,0,NS
2.777,2,0,NS
2.794,2,0,NS
2.811,2,0,NS
2.829,2,0,NS
2.846,1,0,NS
2.863,1,0,NS
2.88,1,0,NS
2.897,1,0,NS
2.914,1,0,NS
2.93,1,0,NS
2.946,1,0,NS
2.963,1,0,NS
2.98,1,0,NS
2.997,1,0,NS
3.014,1,0,NS
3.03,1,0,NS
3.047,1,0,NS
3.064,1,0,NS
3.081,1,0,NS
3.098,1,0,NS
3.115,1,0,NS
3.132,1,0,NS
3.149,1,0,NS
3.166,1,0,NS
3.183,1,0,NS
3.199,1,0,NS
3.215,1,0,NS
3.232,1,0,NS
3.249,1,0,NS
3.266,1,0,NS
3.283,1,0,NS
